component,PC1_PC1,PC1_PC2,PC2_PC1,PC2_PC2
1,1.449227639286027,0,0,1.449227639286027
2,0.6932221182571136,0,0,0.6932221182571136
3,0.6108228359505046,0,0,0.6108228359505046
4,0.39153028446272764,0,0,0.39153028446272764
5,0.3421827458265269,0,0,0.3421827458265269
