PC,variance,var_prop
PC1,3.4452148777335543,0.49217355396193635
PC2,1.2546893697712922,0.17924133853875604
PC3,0.8153215737465194,0.11647451053521705
PC4,0.574356562081067,0.08205093744015243
PC5,0.3909750258301453,0.05585357511859219
PC6,0.3458454536151947,0.049406493373599245
PC7,0.17359713722222672,0.024799591031746674
