Country,Year,comp_1,comp_2,comp_3,comp_4,comp_5
India,2015,0.10639405092437149,0.8704463055201972,0.023158702920131582,9.406352988258095e-7,1.1524460013522511e-15
Indonesia,2015,0.7852175895639288,0.0825003448330263,0.13076354513838725,0.0015167145238908896,1.8059407663038182e-6
Iraq,2015,0.05240587079588293,0.4816019774462013,0.46575465803463983,2.3749372327544518e-4,3.405480387995273e-16
Ireland,2015,0.00727990340356426,3.585496943959008e-9,7.823905396603632e-6,1.0360207372495395e-5,0.9927019088981696
Israel,2015,0.023886455275472705,1.6319968727000737e-5,0.08163220931324863,0.8763991352347317,0.0180658802078199
Italy,2015,0.0073453174636749115,2.082757367773455e-4,0.37187387010293294,0.6205724517964522,8.490016250653363e-8
Jamaica,2015,0.036104842244880093,0.006424853214094321,0.7102471932893799,0.24722295986275342,1.5138889236233416e-7
Japan,2015,0.004143094106588123,2.895569852109137e-6,0.06184362471208057,0.9338836444276305,1.2674118384866422e-4
Jordan,2015,0.026750555234119743,0.008789248601842922,0.8081458398816387,0.15631435088117232,5.401226330155743e-9
Kazakhstan,2015,0.012797096590925691,6.41669322362546e-4,0.4425636465164235,0.5439972661176259,3.214526623871977e-7
Kenya,2015,0.23751568544414994,0.7405695276981001,0.021913186177147586,1.6006804805708791e-6,1.2193354517490215e-13
Kosovo,2015,0.10641185870294112,0.2763023592394803,0.6135579348428968,0.003727847190805686,2.3876283262126562e-11
Kuwait,2015,0.023625892373543365,7.872846304588297e-6,0.06203223621510365,0.870281328872899,0.04405266969214952
Latvia,2015,0.02162752648698185,0.010038649038347062,0.8640527961096056,0.10428102799171383,3.733519488940287e-10
Lebanon,2015,0.043313907279217446,0.04688482287248231,0.8753611617451591,0.03444010792802637,1.7511482996069691e-10
Lesotho,2015,0.057432395709557826,0.9060217204756543,0.03654462215348947,1.2616612983316163e-6,2.6720354127969783e-17
Liberia,2015,0.04106343884799038,0.9546449022889735,0.004291650690950364,8.172085978422507e-9,2.9279044534203604e-20
Libya,2015,0.021560131487985558,0.0014373796702739545,0.5049495954144547,0.47205200743838704,8.859888989643258e-7
Lithuania,2015,0.010738765429747783,7.357181792909125e-4,0.9185017535463131,0.07002376284455218,9.614058081334212e-14
Luxembourg,2015,0.0017412398933003164,9.230788966559768e-10,1.678037874391573e-5,1.4614296725838746e-4,0.9980958358376185
Madagascar,2015,0.02485931519448602,0.9729317336193242,0.002208950426603002,7.595867632477749e-10,3.292877004980155e-23
Malawi,2015,0.11437151697153397,0.8855573484585436,7.113456893756979e-5,9.848224707122053e-13,6.255058918662649e-23
Malaysia,2015,0.24207557764530974,0.004027700370435857,0.4411322307718167,0.31156549990040844,0.0011989913120293051
Mali,2015,0.05811503619486027,0.9264058514902903,0.015478901646852488,2.1066799701707892e-7,7.191913783779856e-18
Malta,2015,0.1397696735631882,5.507800177023155e-6,0.001855594046274566,0.001583842742187274,0.8567853818481727
Mauritania,2015,0.07829145683671687,0.8891490776464857,0.03255800321589659,1.462300900657849e-6,2.7633439671367626e-16
Mauritius,2015,0.5241976342336505,0.019885541384319527,0.39494795794491955,0.06078255022534783,1.863162117622774e-4
Mexico,2015,0.020985508012656452,7.055716554894158e-5,0.14604717252738877,0.831706296236737,0.0011904660576689528
Moldova,2015,0.05009174086917696,0.08172232920407703,0.8507326153040681,0.017453314585360587,3.731726426167757e-11
Mongolia,2015,0.14545275209169323,0.06719915522160097,0.7448620582382796,0.04248596713858103,6.730984517934768e-8
Montenegro,2015,0.03571343927485764,0.04855945670035878,0.890797283443458,0.024929820558350805,2.297486485733932e-11
Morocco,2015,0.049360175237151215,0.19436786155987382,0.7531977610051079,0.0030742021977104204,1.564287427632931e-13
Mozambique,2015,0.08652514575283907,0.9059900559345269,0.007484735169277892,6.314335587573111e-8,2.4571388985382687e-17
Myanmar,2015,0.9996840539200148,3.1594054990852856e-4,5.530076291928035e-9,3.637747352604563e-18,1.4533736264362169e-18
Namibia,2015,0.03924244342233643,0.11678215503155427,0.8383256382892091,0.005649763256648586,2.516854588304209e-13
Nepal,2015,0.16071501431426882,0.7808098244228566,0.05846469867522189,1.0462587544041291e-5,1.0834590849145163e-13
Netherlands,2015,0.009457286618458235,1.2486171187867762e-9,2.1010574974123106e-6,1.3401766622351054e-6,0.9905392708987654
New Zealand,2015,0.025972069127979967,2.51355662001988e-10,2.6443281652532744e-7,3.655602698583308e-8,0.9740276296318211
Nicaragua,2015,0.4699357410553413,0.008916965594101649,0.39289135285507953,0.12716275812432953,0.0010931823711477918
Niger,2015,0.07954573937113656,0.9169863313152873,0.003467919206224026,1.0107352311142525e-8,2.096056643405407e-18
Nigeria,2015,0.09643262138998035,0.841626718802426,0.06193336691113215,7.292896457574816e-6,4.060750554405481e-15
North Macedonia,2015,0.04568956848033408,0.04358774582099875,0.8702390839351616,0.04048360137694159,3.8656408089730664e-10
Norway,2015,0.0011938462720194627,5.2155848721063174e-11,8.702086200558583e-7,3.101438890281054e-6,0.9988021820283144
Pakistan,2015,0.0769523024512038,0.9140941691902825,0.008953443239511104,8.511900215083124e-8,1.7470325052784807e-17
Panama,2015,0.023685289911112142,5.839659380756876e-5,0.1333428152953869,0.840356106897923,0.002557391301770363
Paraguay,2015,0.30128177285635016,0.007906053346245768,0.4842207959544775,0.2061087509610015,4.826268819250681e-4
Peru,2015,0.02278612824129794,0.006045838864233053,0.7792043414940331,0.19196368494511037,6.455325635825651e-9
Philippines,2015,0.35258574342779175,0.06049699556578353,0.5511785243120296,0.035735972524780564,2.764169614388145e-6
Poland,2015,0.007939971844101985,1.1842597251446763e-4,0.24592389370972853,0.7460153802072523,2.328266402770375e-6
Portugal,2015,0.0088291363290119,4.432924982080445e-4,0.48718521885006016,0.5035423297043347,2.2618385231243798e-8
Qatar,2015,0.007863760651628464,6.517046152562119e-10,1.321150621857176e-6,8.474757933425953e-7,0.9921340700702513
Romania,2015,0.019528889212823454,0.016057600663885323,0.9236795197204327,0.04073399039743737,5.4210953991698715e-12
