variable,center,scale
GDP per Capita,1.0240310309732539,0.45644257675425054
Social support,1.0572871650442064,0.3276001682694217
Healthy life expectancy at birth,0.5839524515178571,0.24391750604191906
Freedom to make life choices,0.4549694703986508,0.16117769726048153
Generosity,0.19711624378460318,0.11323537116572256
Perceptions of corruption,0.1346310696461111,0.1154159615473287
Score,5.477683659126667,1.1386600443384192
