Variable,PC1,PC2
GDP per Capita,0.8212608611389304,0.26147495158218087
Social support,0.7517306277345367,0.24276513276121087
Healthy life expectancy at birth,0.7748809465355324,0.222902802689289
Freedom to make life choices,0.681340360185797,-0.3373706897016258
Generosity,0.09134834170897285,-0.8074610742011471
Perceptions of corruption,0.5203343151357495,-0.5578726087267765
Score,0.9283797995745345,0.025796010304714834
